concurrentUsers,requests,successful,failed,minMs,p50Ms,meanMs,p95Ms,p99Ms,maxMs,batchWallClockMs,throughputTps
1,1,1,0,2049.12,2049.12,2049.12,2049.12,2049.12,2049.12,2049.13,0.49
10,10,10,0,93.55,95.98,96.18,98.31,98.31,98.31,100.23,99.77
20,20,20,0,116.35,122,132.16,146.36,146.78,146.78,148.98,134.25
40,40,40,0,120.54,163.14,177.44,227.7,253.16,253.16,257.22,155.51
50,50,50,0,140.01,210.18,205.85,273.07,276.53,276.53,280.22,178.43
75,75,75,0,122.53,252.68,270.04,400.64,403.66,403.66,406.31,184.59
100,100,100,0,131.94,329.33,350.04,531.22,532.92,556.38,560.05,178.56
