concurrentUsers,repetitions,p50Ms_mean,p50Ms_sd,meanMs_mean,meanMs_sd,p95Ms_mean,p95Ms_sd,p99Ms_mean,p99Ms_sd,maxMs_mean,maxMs_sd,throughputTps_mean,throughputTps_sd
1,3,2045.37,3.54,2045.37,3.54,2045.37,3.54,2045.37,3.54,2045.37,3.54,0.49,0.0
10,3,84.81,10.57,85.16,10.41,88.09,9.52,88.09,9.52,88.09,9.52,112.85,12.22
20,3,102.74,17.57,113.53,17.75,127.98,18.2,128.63,18.02,128.63,18.02,154.86,21.66
40,3,155.4,9.56,169.23,10.77,229.73,11.06,239.09,16.55,239.09,16.55,164.3,11.59
50,3,199.61,11.78,197.18,9.88,262.19,11.06,275.87,11.81,275.87,11.81,178.06,9.03
75,3,250.06,3.27,265.16,7.89,389.46,29.59,404.84,8.88,404.84,8.88,183.83,3.88
100,3,325.95,28.14,334.7,18.17,514.33,20.98,516.35,20.87,531.84,21.6,186.01,6.54
