recordCount,couchDocCount,couchDataSizeBytes,pointRead_p50Ms,pointRead_p95Ms,richQuery_p50Ms,richQuery_p95Ms,auditTrail_p50Ms,auditTrail_p95Ms,accessLog_p50Ms,accessLog_p95Ms,decision_p50Ms,decision_p95Ms
1000,,,3.61,20.91,159.01,180.98,93.66,129.65,125.57,133.22,117.79,164
5000,,,3.47,21.53,734.97,748.73,356.92,414.67,562.67,582.51,121.4,172.57
10000,,,3.58,23.22,1461.51,1489.76,637.54,705.63,1109.88,1119.29,112.57,158.88
25000,,,3.96,26.87,3502.65,3635.55,938.48,1052.79,2672.28,2820.99,122.18,146.94
50000,,,3.52,24.89,0,0,1191.04,1504.24,0,0,178.83,2209.64
100000,,,5.05,1096.47,0,0,1452.33,4682.32,0,0,883.74,6338.97
