label,n,schemaValidRate,decisionAccuracy,decisionMacroF1,reasonAccuracy,reasonMacroF1,jointDecisionReasonAccuracy,falseAllowRateAmongNonAllow,falseAllowCount,expectedNonAllowCount,adversarialJointAccuracy,medianLatencyMs,p95LatencyMs
"Untuned, no rules (Ollama)",60,0.5,0.3167,0.2921,0.2833,0.3037,0.2833,0.2,10,50,0.0833,2939.21,3154.33
"Untuned, rules prompt (Ollama)",60,0.9,0.6167,0.4746,0.4,0.404,0.4,0.14,7,50,0.1667,3014.99,3292.44
"Untuned, no rules (prod decoding)",60,0,0,0,0,0,0,0,0,50,0,2150.11,2311.46
"Untuned, rules prompt (prod decoding)",60,0,0,0,0,0,0,0,0,50,0,1851.27,2061.78
Fine-tuned V3 (proposed),60,0.9333,0.8,0.7641,0.75,0.7566,0.75,0,0,50,0.7083,2302.03,2521.73
"Fine-tuned V3, no subject attributes",60,0.9833,0.75,0.6516,0.5167,0.4714,0.5167,0.02,1,50,0.5417,2173.24,2387.65
