set,examples,schema_valid_rate,decision_accuracy,balanced_accuracy,macro_f1,false_allow_count,false_allow_rate_of_deny,false_deny_count,false_deny_rate_of_allow,reason_code_accuracy,policy_ref_accuracy,p95_latency_ms
test-decision-balanced,600,1.000000,0.880000,0.880000,0.879161,61,0.203333,11,0.036667,0.828333,0.735000,8290.7
test-adversarial,389,1.000000,0.840617,0.846025,0.839846,54,0.264706,8,0.043243,0.825193,0.822622,8101.9
test-ood-paraphrase,400,1.000000,0.840000,0.840000,0.836801,60,0.300000,4,0.020000,0.810000,0.780000,8046.2
test-multi-rule,370,1.000000,0.991892,,,3,0.008108,0,,0.783784,0.205405,8791.0
validation-balanced,400,1.000000,0.897500,0.897500,0.897217,31,0.155000,10,0.050000,0.817500,0.737500,8159.2
test-reason-balanced,540,1.000000,0.822222,0.878125,0.716256,93,0.193750,3,0.050000,0.709259,0.566667,8088.5
