case,request_id,fields_checked,fields_present,completeness,query_ms,missing
normal-policy-allow,REQ-377c31f1e7f2e89b,17,17,1,9.106,
normal-policy-deny,REQ-99f879f7354e5899,17,17,1,9.43,
auditor-override-model-deny,REQ-ad27c3c14f06cacf,17,17,1,16.665,
automatic-authorization-reuse,REQ-c9e921ee968d7e6f,12,12,1,13.244,
revoked-authorization-observed,REQ-e9371a9f63e83d84,17,17,1,19.804,
expired-authorization-observed,REQ-ad27c3c14f06cacf,17,17,1,34.64,
model-unavailable-human-decision,REQ-8d56fb3223aa75a5,13,13,1,7.26,
